ID	 tweet	 label
 ha_train_00001	 @user With the money of the North, there is nothing that can be done for the alummah, may God save us, our university, our country, our university, the business, the education, the roads, there is no electricity, everything is corrupt and corruption is obvious, wherever in Nigeria, their university is very important 😭🗣	 negative
 ha_train_00002	 @user Do you have any Adu ar Banda 💔😭 he is the head of the army.... Really, Buhari, you trust us and the country, this man is here	 negative
 ha_train_00003	 @user Be patient, madrid, you have many chances to be the champion	 negative
 ha_train_00004	@user Hmmm now you are below the greatness of God and we are praying to God and you are denying his verses saying that God does not accept the prayers of the poor people of Nigeria 🇳🇬 after he was persecuted and God accepted the prayers of those who were oppressed quickly but you said that God does not accept the prayers of poor people	 negative
 ha_train_00005	 @user @user The Nigerian governors are selling drugs or not 😂	 negative
 ha_train_00006	 @user Look for the poor to find a solution for us, who is the most affected by the nonsense or the attacks, not the poor? You are the father of everyone who complains about problems but you don't worry about those who are affected, the former governor of Zamfara said that reconciliation with the bandits is not the solution. Mits....😭	 negative
 ha_train_00007	 @user In other words, the people have been smuggled like rice?😂	 negative
 ha_train_00008	 @user Well, your parents don't owe you the honor of being a Muslim.	 negative
 ha_train_00009	 @user 🤣😜🤣😜 Your plan has failed on Africa 👌	 negative
 ha_train_00010	@user Rarara, you are different, by God, you are in the field of political music, your talent is different.... 😂 #dodontsula 😝	 negative
 ha_train_00011	 @user That's why I see him as a scornful person living in his country and being looked at. It may be that Jordan is the only one who made this statement because it caused a lot of trouble in the eyes of the world 😣😣	 negative
 ha_train_00012	 @user Chan pressed them. My concern is the mosques that are closed 😭😭	 negative
 ha_train_00013	 @user People of Nigeria 🇳🇬 are condemning your travel to foreign countries, you should stop at your local hospital and ask where you are, you are a greedy leader 😇	 negative
 ha_train_00014	 @user She treated the bastard..... 😂	 negative
 ha_train_00015	 @user Nifa I think I'm more happy than Simeone today, the bastards have been released 🤗🤗🤗	 negative
 ha_train_00016	 @user Your girlfriend is in a different situation but you are busy posting pics on IG as if you are under arrest 🙄 https://t.co/vlfqEDHtnY	 negative
