text	label
አሜን አሜን አሜን መአረይ እንደንዚህ ያሉትን ደጋግ ሰዎች ያብዛልን ያኑርልን  ፈጣሪ	positive
እስኪ ከክላስ ፎርፎ እኪደወል ሽንት ቤት የተደበቀ ምስኪን 	positive
ትንሽ ብትገፋ ፀበል ይዛ ነው የምትመጣው ስልህ 	neutral
በዋሽንግተን ዲሲ በዛሬው እለት በሞጣ ጉዳይ በኢትዮጲያ ኤምባሲ በፈርስት ሂጅራ የተዘጋጀ ዝግጅት	positive
ዳኛ ውሳኔ ከመስጠታችን በፊት የፍርድ ማቅለዬ አስተያየት ይኖርሀል  ተከሳሽ  የማንቼ ደጋፊ መሆኔን ግምት ውስጥ አስገቡልኝ	neutral
ይሄ ጥናት በቶሞካ ቡና ስፖንሰር የተደረገ ነው	neutral
አይዞን  አጥሚት ምናምን ፍቱን መድሀኒት ነው 	neutral
ይሄ የምታዩት ተራራና ሸለቆ በሙሉ እርሻቸው ነው እህል ተሰብስቦ ጎተራ በገባበትና መሬቱ ረፍት ላይ በነበረበት ወቅት ነበር የሄድኩትየአካባቢው ሰው በመንገድ ሲያልፍ ነዋሪውን ሰላ	neutral
የሀገር ህልውና እና ጥቅምን እናስከብር ሲባል ግብፅ አባት ሀገር ሆና ኤርትራ እናት ሀገር የምትሆንበት ስሌት አይገባኝም 	neutral
የሚያሳየን ክልሉ ተግባሩን በተመለከተ ያለው አቋም ከውግዘት በተቃራኒ ተራ እንደሆነ ማሰቡ ነው ተግባሩን ለማረም እርምጃ ከመውሰድ ይልቅ ያቃጠለውን ሽብርተኛ አካል ላለማስከፋት ሲል ሙስ	negative
ሀ ሀ ሀ አቶ ዳንኤል ክብረት መዥረጥ ያደረገውን ስልጣን አላዬህም	neutral
ለቤት ተቆራጭ ብዙ ታማኝነት ነው ይአ ሲ ኢ ምኤ	neutral
ወደ ስራ  በወሪ ገደላችሁን  ጉራ ብቻ	negative
ባሀሩን የምታደፈርስ መስሏት አሞራ አለማወቋ እና ለውንብዳናዋ ትልቅ ባህር ላይ ትሸናለች እንጂ የሷ ሽንት ትልቁን ባህር የማደፍረስ አቅም የለውም  አቦ ለማ መገርሳ  በሰላም አሜሪካ ገብተዋል	negative
   እርሱ በእግዚአብሄር መልክ ሲኖር ሳለ ከእግዚአብሄር ጋር መተካከልን መቀማት እንደሚገባ ነገር አልቈጠረውም ነገር ግን የባሪያን መልክ ይዞ በሰውም ምሳሌ ሆኖ ራሱን ባዶ አደረገ	neutral
የጠሚው ብሄራዊ ደህንነት አማካሪ ማን መሆኑ ጠይቅ  እንዘጥ	negative
 በተነሳው ሰደድ እሳት ከ ሚሊዮን በላይ እንሰሳት ሞተዋል  	neutral
ተጨዋች መሀመድ ናስር ጠፍቷል ወደ ክለቡ ተመልሶ አያውቅም የት እንደገባም መረጃ የለም ሀድያ ሆሳና ለኢትዮጵያ እግርኳስ ፌደሬሽን መጥፋቱን አመልክቻለሁ ብሏል    	neutral
አታላይ ንቤ ደከመች ዛሬ 	positive
ለምን ተስፋ እንቆርጣለን ለምንስ እንዋረዳለን ከኛ እሚጠበቀው መጣር መስራት ስህተትን ቶሎ ማረም አለቀ	neutral
 እነዛው የትላንቶቹ  ህወሀት ጠፍጥፎ የፈጠራቸው ኢህአዴግ ተብዬ አባላት የህዝባችን አሳሪዎች ገራፊዎች ገዳዮችና የአገር ሀብት ዘራፊ ሌቦች  የቀን ጅቦች  ዛሬ	neutral
በተጨማሪም አሽከርካሪዎች የትራፊክ ሁኔታ ቀድመው እንዲያውቁና አማራጭ መንገዶችን እንዲፈልጉ መረጃ የመስጠት ህጎችን የሚተላለፉ አሽከርካሪዎችን የመለየት እንዲሁም የአደጋና የደህንነት	neutral
ሲሉ ያስረዳሉ ይህ ሁሉ ሲሆን ግን የከተማ አስተዳደሩ ምክር ቤትም ሆነ የካቢኔ አባላት ባላቸው ስልጣንና ሀላፊነት ሁኔታውን ለማስተካከልና ለመጠየቅ ሲጥሩ ብዙም አይታዩም ምክትል ከ	neutral
ከ በላይ መስጂዶች ሲቃጠሉሲፈርሱ  የሀገር ሰላም ዋጋው ስንት መስጂድ ነው በማለት ጠይቀናል  አሁን ደግሞ  ከ  ቦታዎች በላይ ህዝበ ሙስሊሙ ሰላማዊ ሰልፍ ሲወጣ  የ	neutral
     የአማራ ፖለቲከኞች የአገው ህዝብ ላይ ያደረሱት እና እያደረሱ ያሉት በደል ይቅር የሚባል አይደለም የአገው አክቲቪስ	neutral
የራሳችሁንም እጣ ፈንታ አልያዛችሁም እንኳን የኛን ኢትዮጵያ ብትፈርስ ወይ   ብትገባ ግን በርግጥ ሙሉ ሀላፊነት የናንተ እብሪት እና ጥጋብ ነው እናንተን የምናኖር መሰላችሁ ቆሻሻ ጥጋበኞች	neutral
እኔ ራሱ የወሲብ ታሪኮችን አንብቤ ከጨረስኩ ብኋሏ ነው ኮሜንት ላይ  ጌታ ይገስፃችሁ ብዬ ምኮምተው 	neutral
አንቺ  ልጅ እየተበላሸሽ ነዉ ከነማን ጋር መዋል  ጀምረሽ ነው  ዋ	negative
ምሽት በአማራ ክልል አገው አዊ ዞን አዮ ጓጉሳ ወረዳ እሁዲት ከተማ ቤተክርስቲያን ለማቃጠል ሙከራ አድርገዋል የተባሉ  ግለሰቦችን ለመያዝ የአካባቢው ማህበረሰብና የፀጥታ ሀይሎ	neutral
 በአርማጭሆ ህፃናትን እና ሾፌሮችን በማገትና ገንዘብ በመጠየቅ ሰላም በማደፍረስ ሲንቀሳቀሱ የነበሩ ወደ  ግለሰቦች በቁጥጥር ስር ዋሉ	neutral
ሀሀ ሳይሆን አይቀርም	neutral
አቃቂር  እውነት ነው አህመዲን ሞጣ አልሄደም ሞጣ ነው አህመዲን ጋር የመጣው አሉ 	neutral
እንደ አገር መኖር በአብዛኛው የአረብ አገሮች ፍላጎት ስለነበር ይህንኑ አቋማቸው ለማለዘብ ደግሞ አቢይ አህመድ ከአረብ አገሮች ጋር ጥሩ የዲፕሎማሲ ስራ እየሰሩ ነው 	positive
በሀሳብ አለመስማማት ደግሞ ሀሳብ ማጣት እንዳልሆነ ማወቁ ጥሩ ነው	positive
ዮሀንስ ቧ ያለው ለአማራ ህዝብ ምን ጠቀመ 	neutral
እንደ አንተ አይነት ሰው እና አስተሳሰብ ሳይ ኢትዮጵያ ትንሳኤሽ እሩቅ ነው እላለሁ የተጨበጨበልህ ደነዝ ነህ	negative
ይሄን ስታይ የሻንቅላ ጦርነት ማስነሳቷ አይቀርም ብዬ ነው	neutral
ኢትዮጵያ ታሪክ ብቻ ሆና መቅረቷ የተረዳው አብይ አህመድ ክሽፈቱ ለማወጅ ዳር ዳር ማለት ጀምሯል	neutral
የ አም ሀገራዊ ምርጫ ረቂቅ የጊዜ ሰሌዳን በተመለከተ ከባለድርሻ አካላት ጋር ውይይት እየተደረገበት ይገኛል  የባለድርሻ አካላት አስተያየትና ግብአት ይሰጡበታል ተብሎ እንደሚ	neutral
 በድካም በብርታት በማግኘት በማጣት የማትለየኝ ጌታ በቀንም በማታ ያላንተ አንዳችም እንዳልችል አውቃለሁ አቅም ጉልበቴ ነህ ኢየሱስ ወድሀለሁ  	neutral
አሜሪካዊ ያገባች የግቢ ጓደኛችን ነበረች ከሰርጓ ቀናት በፊት ቤቷ ሄደን ስናወራ የነገረችን ተመሳሳይ ነበር እኔን ለብሩ ብለሽ አይደል ሲ	neutral
ሁሌ ተዝረክርኬ ስወጣ ነው እንዴ ማፈቅራትን ልጅ ማገኛት 	neutral
ኦሮሞ ሚባል ግሩፕ አለ  የግሩፑን አባላት ቢያሳውቀን መልካም ነበር ንቀቱን እንኳ መደበቅ አይችልም	positive
ሲሮጡ የታጠቁት ሲሮጡ ይፈታል እንዳይሆን  በውህደቱ እኛ ብቻ ነን ልክ ካላሉ  እውነተኛና ሰላማዊ ምርጫ ከተደረገ  የመጪው ምርጫ በውህደቱ ላይ ሪፈረንደም ይሆናል	neutral
ድሬዳዋ ደምቢደሎ  አምቦ እና ወለጋ ዩኒቨርሲቲዎች ተዘግተዋል   የብልፅግና ኦአኦ የብልግና መሪ መቼ ነው ቁጭ ብለህ ለህዝብ የምታገለግለው መዞር መዞር መዞር ደደብ መሪ	negative
የፕራይቬታይዜሽን አዋጁ በቀላሉ ወደኋላ ሊመለስ የማይችል ዘላቂ ተፅእኖ ያለው በመሆኑና አስቸኳይ ባለመሆኑ ተግባራዊ መሆን ያለበት ሀገር ተረጋግቶ መክሮበት በመሆኑ በችኮላ ፀድቆ ወደተግባር እንዳይ	neutral
የመጨረሻ እስትንፋሳ እስኪያደርጉ ድረስ ከፍተኛ ስቃይ ይሰማዎታል  የደምዎ መስመር ይሰቃያል እናም ከሞተ በኋላ ወደ ሲኦል ዋሻዎች ይገባል ከሰራው ሀጢአት	negative
ሌላው የ ትልቅ ዜና የኢትዮጵያ አየር መንገድ ንብረት የሆነው    የተከሰከሰበት አደጋ ነበር በአደጋው የ 	neutral
አንተ ምናልባት የዜግነትህንየብሄርህን አግኝተህ ይሆናል አብዛኛው ወጣት ግን እነታከለ ኡማን ተስፋ አድርጎ ወሬያቸውን	neutral
እንኳን ሰማይ ላይ ባንዲራሽን አይቶ ስምሽ ሲጠራ ማን ዝም ይላል ሰምቶ  እንኳን ሰማይ ላይ ባንዲራሽን አይቶ ኢትዮጵያ ሲባል ማን ዝም ይላል ሰምቶ    ኢትዮጵያ ለዘላለም ትኑር	positive
ያው ታክሲ ውስጥ ምናምን ማለቴ ነው ልክ ሳንፈልግ ጆሲን እንደምንሰማው	neutral
መከላከያ ምኒስትር ለማ መገርሳ የኢትዮጵያና የአሜሪካን የሁለትዮሽ የመከላከያ ትብብር ለማጠናከር ዛሬ ጠዋት ዋሽንግተን ዲሲ መግባታቸውን አምባሳደር ፍፁም አረጋ አስታወቁ	negative
እኔ በአመት የማላገኘውን የደሞዝ መጥን 	neutral
ደግሞኮ በዚህ ቀን ካልገባችሁ ትባረራላችሁ ፒሪረም ፓራራም እያሉ ምስኪኑ ላይ የሚቀልዱት ነገር ነው ደሜን የሚያፈላው አንድ ባለስልጣን ልጅ በነ	neutral
ህግ እና ስርአትን የሚያስከብር መንግስት አለ ብለው ደህንነታችን ይጠበቃል ብለው አምነው ለትምህርት ከቤታቸው የወጡ ተማሪዎች ለምን ታገቱ ይህን ያህል ጊዜ መንግስት የት ነበር	negative
እንኳንም የስላም ስልፍ አደረገላችሁ ውድ ወገኖቼ ክፏችሁን አያስማን የኛ ጨዋዎች	positive
ደስሲልሱዳኖች ሌላአለምላይናቸው	positive
የእኛ ፖለቲካ ማጥቂያ እየሆነ ነው እንደርግማን ሆኖ በቁሙ ያለውን አማራ እየረዳነው አይደለም ዋና ሳጅን አበበ ይትባረክ	neutral
መሪን በጥረቱ መመዘን ድንቅ ቸርነት ነው ለፖለቲካዊ መሪዎች አይሆንም እንጂ	neutral
ነገር ጥቁር ሽፋን ያለው የተረሳ ነገር ባህር ዛፍም ይታጠን 	neutral
