ID	tweet	label
ma_train_00001	hhhhhhhhhhhhhhhhhhhhh ana ga3ma sma3tt ach kant kat9oll kanrakazz ghir m3a zineb oyassmin ochirine	neutral
ma_train_00002	 hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila	neutral
ma_train_00003	 : I understand Othmani and the popular debate. The solution: It is time for a comprehensive download of the advanced regionalization and for the local evaders to assume their full powers to explain the implementation of…	neutral
ma_train_00004	 He was the best Arab ruler.	positive
ma_train_00005	 Mariano Rajoy: In particular, Morocco and Spain explain to the public opinion and all those involved clearly the details of the agreement they reached.	neutral
ma_train_00006	 How did you allow yourself to compare Erdogan to the donkey Benkirane, as a reminder, I am #mwmws	negative
ma_train_00007	"Melilla.. The head of the Spanish ""Box"" party, which is as usual in our country: Postponing the visit of the Minister of Foreign Affairs to Rabat, Morocco is in control."	neutral
ma_train_00008	 dakchi alach hamdoulah mereta7 et en bonne santé 😂	positive
ma_train_00009	 Greetings, Professor Munib	positive
ma_train_00010	" Nor am I a partisan, but the Justice Party """"""""""""""""""Benkirane"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" ‎"" ‎""""""""""""""crecenres]"" God?"	negative
ma_train_00011	 Not below, above no 😂	neutral
ma_train_00012	 Rest and return in peace, my love.	positive
ma_train_00013	 The first Moroccan-Arab artist whose song reached five hundred million views on YouTube.	positive
ma_train_00014	 This is the first official comment from the Foreign Ministry of the Sibelians on the discovery of large oil reserves in the coasts of Agadir,	neutral
ma_train_00015	wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo	negative
ma_train_00016	 God is the greatest, and glory is to God, may God protect you and help you.”	positive
