ID	tweet	label
pt_train_00001	 I asked God for an answer, he gave it to me. I'm very sad about her. But later I know I'll understand.	negative
pt_train_00002	 I just wish I could go back in time and do it differently, maybe then I wouldn't be sad now.😔 https://t.co/AJKapP4vJe	negative
pt_train_00003	 @user This type is executable! Much worse than a clown 🤬	negative
pt_train_00004	 There are guys that just you cross the road 🛣, they're not gramma.. 😪	negative
pt_train_00005	 These guys from Yababuluko have a lot of noise in the last beats👎	negative
pt_train_00006	Fuck you I have this shit. But I doubt he has cancer. https://t.co/Edq8af4AJy	negative
pt_train_00007	 It's poverty. Mental too 🤷🏽‍♂️ https://t.co/TTHPJ4qjT1	negative
pt_train_00008	 So these txecos will beat us at home 💔😭	negative
pt_train_00009	 @user @user @user @user Actually, there won't be another opportunity, especially for those who heard the message and didn't want to change. #ResurrectionOfTheSaints @user @user	negative
pt_train_00010	 @user Abused and was already abusing my patience And I had already told my Bro that my patience would one day come to an end and that he would just stop and watch the lady take txaia... And that's what happened yesterday. I knocked and he didn't even come. The two were already warned.	negative
pt_train_00011	 @user Tsk. But there are clueless people here you know. Putting IBR, false ceiling doesn't come out good crib pah. 😑	negative
pt_train_00012	 Dwight is not Nic man 🤣	negative
pt_train_00013	 Honesty is something you can't buy. Unfortunately humanity forgot about this because of their ambitions.	negative
pt_train_00014	 I wish I was more patient	negative
pt_train_00015	The bank opens at 9 am and they are taking a picture for WhatsApp status and I am outside waiting. That's interesting .	negative
pt_train_00016	 @user @user Yah this guy is not at all nice man... at least have time	negative
pt_train_00017	 Missing views from Palma.😢 https://t.co/7oX3JgOe4B	negative
pt_train_00018	 @user They're betraying you, you see her right here...	negative
pt_train_00019	 Post is very true the Lord will judge https://t.co/aLsl2zFJfD	negative
pt_train_00020	 I even tried😔! But unfortunately I couldn't hold it all, I ended up giving in.	negative
pt_train_00021	 @user Love, you have to forgive me. Our story cannot end like this, from one moment to the next. We've lived through so much together, been through so much together... Please forgive me if I've done something wrong or hurt you.	negative
pt_train_00022	 @user Hell is not a place of joy, it's a place where there is weeping, creaking and crying #ThePulpitOfHoliness	negative
pt_train_00023	 The culmination of living in one district and working in another is that you find yourself arriving at the workplace wearing boots and raincoat in a locality that is suffering from the heat. 🤣	negative
pt_train_00024	📎The LORD is saying that the sheep are thirsty and hungry for TRUE BREAD and yet the pulpit is feeding them with a perishable message. #TheHolyAltar	negative
pt_train_00025	" They sanded even more water quality from the waters of Maputo for their mineral water business to boom They sanded TPM to put FEMATRO/FTC, so the rise in the price of the """"""""plate"""""""" benefits them In a little while movitel will get us knives in the ass, just make sure we're theirs"	negative
pt_train_00026	 @user But I know it wouldn't do any good. You made this post with a goal and you achieved it. Even though not all gay people are like that. Now people will use this image as ammunition to continue to attack us and the justification they will use is that we are all disrespecting religion.	negative
pt_train_00027	 This one wreaked havoc on my playlist, deserves to be sanctioned https://t.co/jErwgu7X2m	negative
pt_train_00028	 @user You still get insults for experiencing violence	negative
