text	label
ነጋን እንደምትፈሩ እግዚአብሄርን ብትፈሩ የት በደረሳችሁ ያው ግልፅ ጦርነቱ በይፋ ተከፍቷል እስኬው የአንድ ሺህ ሰው ግምት እንዲህ አንቀጥቅጥልኝ	neutral
ይድረስ   ለተከበሩ ወሮ ዳግማዊት ሞገስ ተጣፈ     ተመንዝ ሰዎች ጉዳዪ      መንገዳችን ወይ በጋችንን	positive
በጣም ጥሩ ግምት ኮፍያው ከወለቀ በኋላ አእምሮክ ነፃ ሆኖ እያሰበ ነው መነፅሩን ስታወልቅ ደሞ የወደፊቱ የሚታይህ ይመስላል	neutral
የብሪታኒያ መንግስት ሀገሪቱ ከአውሮፓ ህብረት በቅርቡ እንድትወጣ እሰራለሁ አለ	neutral
አሜን  ሰላም ብሩህ ሳምንት 	positive
የቀበሌ መታወቂያ ሳይዝ የፓርቲ አባል ይቻላል መጀመሪያ ኢትዮጵያዊ የሚል መታወቂያ ሊኖረው ይገባል ከፓርቲው መታውውቂያ ላይም ኢትዮጵያዊ ይላል	neutral
  ያቀናበረው ዘፈን ነው ግጥሙም የእሱ ነው ዘፋኙ ደግሞ ልኡል ሀይሉ ይባላል	positive
ከታክሲ ሹፌር ጋ ወክ እያረግን ድንገት ፊትለፊት ትራፊክ ስናገኝ   ልጁ ወደ ቀኝ አልታጠፈም  ናባክህ በእግርህ ነህኮ	neutral
ኢትዮ ቴሌኮም በመላው አገሪቱ በ ዩኒቨርስቲዎች የሚማሩ አራት ሺ  የአማራና የኦሮሞ ተወላጆች ተማሪዎችን ተጠቃሚ የሚያደርግ የ ሚሊየን ብር ድጋፍ መርሀ ግብር ይፋ አደረገ	positive
ወደ ስራ  በወሪ ገደላችሁን  ጉራ ብቻ	negative
አሁን ይህ ምን ጥቅም ይሰጣል ስራወ ቢመሰክር አይሻልም ጌታው	neutral
አዲሱ አመት የሞጣ ቆሞጬ መሰጊድ የነኮ የሚያልቅበት ያርገዉ	positive
ኢዜማ ዋነኛ መንገድ የተበደለን መውቀስየተከራየውን ሆቴል ከከለከሉት የት ይግባ	negative
ሱራፌል ዳኛቸው የረዥም ፓስ ቴክኒኩ ጥሩ ነውን  ይህ የማእዘን ምት በ አቅጣጫ ሊመታ ይችላል ከማእዘኑ በውጭ በኩል በቀኝ እግር እና ከወደ የጅ ውርዎራው  በኩል በመቆም በግራ እ	neutral
ለሀገር ሰላምና ለህዝቦች አንድነት የወጣቶች ሁለንተናዊ የነቃ ተሳትፎ ወሳኝ ነው	positive
ሀበሻ እኮ በአመት ሁለት ጊዜ መልካም አዲስ አመት የሚል ግራ የተጋባ ህዝብ ነው 	negative
ያ እውነት አይደለም	negative
ትርጉም ከአቃሪዎ ጋር ለመገላግለ  መንገዶች	negative
ሌባ የሚጣለው ሲካፈል ነው የሚለው አነጋገር ተፈፃሚ እንዳይሆን ተግተህ ፀልይ	negative
እንዲህ ስንባጠስ ደህና ፖለቲካና ፖለቲከኛ ያለን አይመስልም   የድንቁርናዬን እንቁልልጭ ሀገር	negative
መንግስት በስንተኛው ሰልፍ ነው ምላሽ የሚሰጠው	neutral
አዲስ አበባ ለወንጀለኞች ምቹ ሆናለች  ህዝብ በፍራቻ በጊዜ ክትት እያለ ነው እነ ሞተር ሳይክልም ሙንጨፋ ጀምረዋል የፖሊስ ብዛት ሳይሆ ጥራት ያስፈልጋል በብዛ	negative
የውሻ ስጋ ይህን ይመስላል	neutral
አማራ ባይኖር ኖሮ አሁን ባለው ፈረጃ ኢትዮዽያ ፈረሳ ነበር አሁንም የምፈራው አማራን እንዳይጠልፊት ነው	neutral
ለእትዮጵያ አንድነትበቀለም በፆታ በሀይማኖት በብሄር ሳንከፋፈል አብረን ወደፊት እንጓዝ ተያይዞ ወደ ብልፅግና ጉዞ 	positive
ነገሮችን እንዷመጣጣቸው መቀበል የግድ ነው  በዛው እሳቤ ኑሮ ትቂት ጊዜ ነው እዳናሰብነው ምትገኘው	positive
ልክ ነሽ የተለያየ አተገባበር ይጠቀማል ያልኩት ለዛ ነው	positive
ጠቅላይ ሚንስትር አቢይ አህመድ የኖቤል የሰላም ሽልማትን በማሸነፉ የተሰማኝን ደስታና ጥልቅ ስሜት ለመግለፅ እወዳለሁ ጠቅላይ ሚንስትሩ ለቀጠናው ላመጣው ሰላምና ተስፋ ሽልማቱ	positive
እውነቱን ነው ግን ትንሽ ተዛንፏል ትልቁ ችግር ዘመናዊ ትምህርት ከሀይማኖት እኔ ከባህል መበረዝ ጋራ ስላዛመዱት ነው ይህም መሰረቱ ከፖርቱጋል ጋራ የነበረን ግንኙነት ነው	positive
እንዷማራ ጥገኛ የሆነ ህዝብ ስለነፃነት የማውራት ተስፋ የለውም	negative
የደብተራ ስነ ልቦና ተሸካሚዎች ማህበር ሊቋቋም ነው ወደ እኔ አትምጡ ብሏል ሙሀጅሩ መሀመድ አቡ ከውሰር መልክትህን አድርሻለሁ	neutral
ፖሊሲ ብቻ ሳይሆን የፓርቲው መሪ መንነትም አስተዋፅኦ አለው 	neutral
ዎረስት ፓርቱ እሱ አይደል ታዲያ ዩ አርኖት ሰፖዝድ ቱ ሪመምበር እኮ 	neutral
የምርጫ ወረቀቶች የሚያትመው ዱባይ አገር ያለው ኩባንያ ከዚህ በፊት በኡጋንዳበኬኒያና በተለያዩ አካባቢዎች የፈፀማቸው ግድፈቶች የምርጫ መዛባትን በመፍጠርበፍርድ ቤትም የተከሰሰ ህ	negative
 ዮሀንስ     ሀጢአትን የሚያደርግ ከዲያብሎስ ነው ዲያብሎስ ከመጀመሪያ ሀጢአትን ያደርጋልና	neutral
